Sentence,Emotion
"""It is very unpleasant, I am afraid of the police,"" said Pickles.",3
"Pickles nearly had a fit, he barked and he barked and made little rushes.",2
He shut the door in Nutkin's face.,2
Old Mr. Brown turned up his eyes in disgust at the impertinence of Nutkin.,2
"And to this day, if you meet Nutkin up a tree and ask him a riddle, he will throw sticks at you, and stamp his feet and scold, and shout--",2
"""I am dreadfully afraid it WILL be mouse!"" said Duchess to herself--""I really couldn't, COULDN'T eat mouse pie.",3
"""Quite well, I thank you, and how do YOU do, my dear Ribby?"" said Duchess.",4
"""I've brought you some flowers; what a delicious smell of pie!""",4
"""Oh, what lovely flowers!",4
"Oh, my dear Ribby, I do feel so ill!""",3
"""Oh I do feel so ill ALL OVER me, my dear Ribby.""",3
"But while Ribby had been hunting for the doctor--a curious thing had happened to Duchess, who had been left by herself, sitting before the fire, sighing and groaning and feeling very unhappy.",3
"""How COULD I have swallowed it! such a large thing as a patty-pan!""",7
"She sat down again, and stared mournfully at the grate.",6
Duchess started!,7
"""I am truly glad to hear it!",4
"Ribby and Duchess said good-bye affectionately, and Duchess started home.",4
"Ribby stared with amazement-- ""Did you ever see the like! so there really WAS a patty-pan?",7
Mrs. Tabitha became more and more distracted and mewed dreadfully.,3
"But just at that moment somebody knocked at the front door, and Moppet jumped into the flour barrel in a fright.",3
Mittens ran away to the dairy and hid in an empty jar on the stone shelf where the milk pans stand.,3
"I'm in sad trouble, Cousin Ribby,"" said Tabitha, shedding tears.",6
"""He's a bad kitten, Cousin Tabitha; he made a cat's cradle of my best bonnet last time I came to tea.",2
"""The chimney wants sweeping-- Oh, dear me, Cousin Ribby--now Moppet and Mittens are gone!",7
"""Yes, it is infested with rats,"" said Tabitha tearfully.",6
"""The rats get upon my nerves, Cousin Ribby,"" said Tabitha.",2
She seemed to be in a terrible fright.,3
"""Oh, Mother, Mother!"" said Mittens--",3
"""Oh!",3
"Oh, my poor son Thomas!"" exclaimed Tabitha, wringing her paws.",3
Tom Kitten was getting very frightened!,3
"There was less smoke, but Tom Kitten felt quite lost.",3
I wish I had never come!,3
"""What do you mean by tumbling into my bed all covered with smuts?"" said the rat, chattering his teeth.",2
"""Nonsense!",2
"While Tom Kitten was left alone under the floor of the attic, he wriggled about and tried to mew for help.",3
Tom Kitten wriggled and squirmed until he was quite exhausted.,3
"Tom Kitten bit and spit, and mewed and wriggled; and the rolling pin went roly-poly, roly; roly-poly, roly.",2
"Anna Maria was about to argue the point when all at once there began to be other sounds up above--the rasping noise of a saw, and the noise of a little dog, scratching and yelping!",7
"As for Farmer Potatoes, he has been driven nearly distracted.",2
It feels sad.,6
And then all of a sudden--Miss Moppet jumps upon the Mouse!,7
But she forgot about that hole in the duster; and when she untied it-- there was no Mouse!,7
He has wriggled out and run away; and he is dancing a jig on top of the cupboard!,4
"The tailor replied: ""Simpkin, we shall make our fortune, but I am worn to a ravelling.",6
"Then the tailor started; for suddenly, interrupting him, from the dresser at the other side of the kitchen came a number of little noises--",7
"""This is passing extraordinary!"" said the Tailor of Gloucester, and turned over another tea-cup, which was upside down.",7
"But Simpkin hid a little parcel privately in the tea-pot, and spit and growled at the tailor; and if Simpkin had been able to talk, he would have asked: ""Where is my MOUSE?""",2
"""Alack, I am undone!"" said the Tailor of Gloucester, and went sadly to bed.",6
"The poor old tailor was very ill with a fever, tossing and turning in his four-post bed; and still in his dreams he mumbled: ""No more twist! no more twist!""",6
"The little mice only laughed, and tried another tune--",4
"""Alack,"" said the tailor, ""I have my twist; but no more strength--nor time--than will serve to make me one single buttonhole; for this is Christmas Day in the Morning!",6
Little Benjamin did not very much want to see his Aunt.,2
Peter did not seem to be enjoying himself; he kept hearing noises.,3
"Benjamin, on the contrary, was perfectly at home, and ate a lettuce leaf.",4
Peter did not eat anything; he said he should like to go home.,3
Peter heard noises worse than ever; his eyes were as big as lolly-pops!,3
The cat was too much surprised to scratch back.,7
When Mr. McGregor returned about half an hour later he observed several things which perplexed him.,7
"Listen to the story of Jemima Puddle-duck, who was annoyed because the farmer's wife would not let her hatch her own eggs.",2
She rather fancied a tree stump amongst some tall foxgloves.,4
"But--seated upon the stump, she was startled to find an elegantly dressed gentleman reading a newspaper.",7
Jemima complained of the superfluous hen.,2
Jemima Puddle-duck was rather surprised to find such a vast quantity of feathers.,7
The foxy gentleman admired them immensely.,4
When Jemima alighted he quite jumped.,7
Jemima became much alarmed.,3
"""What a mercy that was not a pike!"" said Mr. Jeremy Fisher.",4
"One day little Lucie came into the farm-yard crying--oh, she did cry so!",6
"A little frightened voice called out ""Who's that?""",3
"There was a nice hot singey smell; and at the table, with an iron in her hand, stood a very stout short person staring anxiously at Lucie.",3
"Her little black nose went sniffle, sniffle, snuffle, and her eyes went twinkle, twinkle; and underneath her cap-where Lucie had yellow curls-that little person had PRICKLES!",7
"""Oh that IS lovely!"" said Lucie.",4
And she gave them their nice clean clothes; and all the little animals and birds were so very much obliged to dear Mrs. Tiggy-winkle.,4
"""Go away, you bold bad spider!",2
Mrs. Tittlemouse looked at her severely.,2
Mrs. Tittle- mouse began to get cross.,2
"""I am not in the habit of letting lodgings; this is an intrusion!"" said Mrs. Tittlemouse.",2
"He was sitting all over a small rocking chair, twiddling his thumbs and smiling, with his feet on the fender.",4
"""Thank you, thank you, thank you, Mrs. Tittlemouse!",4
"He sat and smiled, and the water dripped off his coat tails.",4
"""Thank you, thank you, Mrs. Tittlemouse!",4
"""Thank you, thank you, thank you, Mrs. Tittlemouse!",4
"Now what I really--REALLY should like-- would be a little dish of honey!""",4
"""Get out, you nasty old toad!"" shrieked Babbitty Bumble.",2
"""I shall go distracted!"" scolded Mrs. Tittlemouse.",2
"But the untidiness was something dreadful--""Never did I see such a mess--smears of honey; and moss, and thistledown--and marks of big and little dirty feet-- all over my nice clean house!""",2
The rabbits could not bear him; they could smell him half a mile off.,2
